ID	Gene Name	Species	REACTOME_PATHWAY
ABCF1	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	R-HSA-382551~Transport of small molecules,R-HSA-382556~ABC-family proteins mediated transport,
ABCF2	ATP binding cassette subfamily F member 2(ABCF2)	Homo sapiens	R-HSA-2262752~Cellular responses to stress,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9711123~Cellular response to chemical stress,R-HSA-9755511~KEAP1-NFE2L2 pathway,R-HSA-9759194~Nuclear events mediated by NFE2L2,R-HSA-9818032~NFE2L2 regulating MDR associated enzymes,
ACLY	ATP citrate lyase(ACLY)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-163685~Integration of energy metabolism,R-HSA-163765~ChREBP activates metabolic gene expression,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-556833~Metabolism of lipids,R-HSA-6798695~Neutrophil degranulation,R-HSA-75105~Fatty acyl-CoA biosynthesis,R-HSA-8978868~Fatty acid metabolism,
ATP6V0C	ATPase H+ transporting V0 subunit c(ATP6V0C)	Homo sapiens	R-HSA-1222556~ROS and RNS production in phagocytes,R-HSA-162582~Signal Transduction,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-2262752~Cellular responses to stress,R-HSA-382551~Transport of small molecules,R-HSA-6798695~Neutrophil degranulation,R-HSA-74752~Signaling by Insulin receptor,R-HSA-77387~Insulin receptor recycling,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-917937~Iron uptake and transport,R-HSA-917977~Transferrin endocytosis and recycling,R-HSA-9639288~Amino acids regulate mTORC1,R-HSA-9711097~Cellular response to starvation,R-HSA-983712~Ion channel transport,
ATP6V1B2	ATPase H+ transporting V1 subunit B2(ATP6V1B2)	Homo sapiens	R-HSA-1222556~ROS and RNS production in phagocytes,R-HSA-162582~Signal Transduction,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-2262752~Cellular responses to stress,R-HSA-382551~Transport of small molecules,R-HSA-74752~Signaling by Insulin receptor,R-HSA-77387~Insulin receptor recycling,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-917937~Iron uptake and transport,R-HSA-917977~Transferrin endocytosis and recycling,R-HSA-9639288~Amino acids regulate mTORC1,R-HSA-9711097~Cellular response to starvation,R-HSA-983712~Ion channel transport,
ATP1B3	ATPase Na+/K+ transporting subunit beta 3(ATP1B3)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1643685~Disease,R-HSA-202733~Cell surface interactions at the vascular wall,R-HSA-210991~Basigin interactions,R-HSA-382551~Transport of small molecules,R-HSA-397014~Muscle contraction,R-HSA-5576891~Cardiac conduction,R-HSA-5578775~Ion homeostasis,R-HSA-5663205~Infectious disease,R-HSA-936837~Ion transport by P-type ATPases,R-HSA-9679191~Potential therapeutics for SARS,R-HSA-9679506~SARS-CoV Infections,R-HSA-9824446~Viral Infection Pathways,R-HSA-983712~Ion channel transport,
ATP2B1	ATPase plasma membrane Ca2+ transporting 1(ATP2B1)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-382551~Transport of small molecules,R-HSA-397014~Muscle contraction,R-HSA-418346~Platelet homeostasis,R-HSA-418359~Reduction of cytosolic Ca++ levels,R-HSA-418360~Platelet calcium homeostasis,R-HSA-5576891~Cardiac conduction,R-HSA-5578775~Ion homeostasis,R-HSA-936837~Ion transport by P-type ATPases,R-HSA-9659379~Sensory processing of sound,R-HSA-9662360~Sensory processing of sound by inner hair cells of the cochlea,R-HSA-9709957~Sensory Perception,R-HSA-983712~Ion channel transport,
ATP2B4	ATPase plasma membrane Ca2+ transporting 4(ATP2B4)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-382551~Transport of small molecules,R-HSA-397014~Muscle contraction,R-HSA-418346~Platelet homeostasis,R-HSA-418359~Reduction of cytosolic Ca++ levels,R-HSA-418360~Platelet calcium homeostasis,R-HSA-5576891~Cardiac conduction,R-HSA-5578775~Ion homeostasis,R-HSA-936837~Ion transport by P-type ATPases,R-HSA-983712~Ion channel transport,
ATRX	ATRX chromatin remodeler(ATRX)	Homo sapiens	R-HSA-157579~Telomere Maintenance,R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-73886~Chromosome Maintenance,R-HSA-9006821~Alternative Lengthening of Telomeres (ALT),R-HSA-9670095~Inhibition of DNA recombination at telomere,R-HSA-9670613~Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations,R-HSA-9670615~Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations,R-HSA-9670621~Defective Inhibition of DNA Recombination at Telomere,R-HSA-9673013~Diseases of Telomere Maintenance,R-HSA-9675126~Diseases of mitotic cell cycle,
AHI1	Abelson helper integration site 1(AHI1)	Homo sapiens	R-HSA-1852241~Organelle biogenesis and maintenance,R-HSA-5617833~Cilium Assembly,R-HSA-5620912~Anchoring of the basal body to the plasma membrane,
ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2(ARAP2)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-194315~Signaling by Rho GTPases,R-HSA-8980692~RHOA GTPase cycle,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013148~CDC42 GTPase cycle,R-HSA-9013149~RAC1 GTPase cycle,R-HSA-9013423~RAC3 GTPase cycle,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,
BCAP31	B cell receptor associated protein 31(BCAP31)	Homo sapiens	R-HSA-109581~Apoptosis,R-HSA-111465~Apoptotic cleavage of cellular proteins,R-HSA-1280218~Adaptive Immune System,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168256~Immune System,R-HSA-194315~Signaling by Rho GTPases,R-HSA-5357801~Programmed Cell Death,R-HSA-5663205~Infectious disease,R-HSA-75153~Apoptotic execution phase,R-HSA-8980692~RHOA GTPase cycle,R-HSA-9012999~RHO GTPase cycle,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9820952~Respiratory Syncytial Virus Infection Pathway,R-HSA-9824446~Viral Infection Pathways,R-HSA-983169~Class I MHC mediated antigen processing & presentation,R-HSA-983170~Antigen Presentation: Folding, assembly and peptide loading of class I MHC,R-HSA-9833110~RSV-host interactions,
BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB(BDP1)	Homo sapiens	R-HSA-74158~RNA Polymerase III Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-749476~RNA Polymerase III Abortive And Retractive Initiation,R-HSA-76046~RNA Polymerase III Transcription Initiation,R-HSA-76061~RNA Polymerase III Transcription Initiation From Type 1 Promoter,R-HSA-76066~RNA Polymerase III Transcription Initiation From Type 2 Promoter,R-HSA-76071~RNA Polymerase III Transcription Initiation From Type 3 Promoter,
BANF1	BAF nuclear assembly factor 1(BANF1)	Homo sapiens	R-HSA-162587~HIV Life Cycle,R-HSA-162592~Integration of provirus,R-HSA-162594~Early Phase of HIV Life Cycle,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-164843~2-LTR circle formation,R-HSA-175567~Integration of viral DNA into host genomic DNA,R-HSA-176033~Interactions of Vpr with host cellular proteins,R-HSA-177539~Autointegration results in viral DNA circles,R-HSA-180689~APOBEC3G mediated resistance to HIV-1 infection,R-HSA-180910~Vpr-mediated nuclear import of PICs,R-HSA-2555396~Mitotic Metaphase and Anaphase,R-HSA-2980766~Nuclear Envelope Breakdown,R-HSA-2995383~Initiation of Nuclear Envelope (NE) Reformation,R-HSA-2995410~Nuclear Envelope (NE) Reassembly,R-HSA-5663205~Infectious disease,R-HSA-68875~Mitotic Prophase,R-HSA-68882~Mitotic Anaphase,R-HSA-68886~M Phase,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-9824446~Viral Infection Pathways,
BAG1	BAG cochaperone 1(BAG1)	Homo sapiens	R-HSA-2262752~Cellular responses to stress,R-HSA-3371453~Regulation of HSF1-mediated heat shock response,R-HSA-3371556~Cellular response to heat stress,R-HSA-8953897~Cellular responses to stimuli,
BID	BH3 interacting domain death agonist(BID)	Homo sapiens	R-HSA-109581~Apoptosis,R-HSA-109606~Intrinsic Pathway for Apoptosis,R-HSA-111447~Activation of BAD and translocation to mitochondria ,R-HSA-111452~Activation and oligomerization of BAK protein,R-HSA-111453~BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,R-HSA-114294~Activation, translocation and oligomerization of BAX,R-HSA-114452~Activation of BH3-only proteins,R-HSA-212436~Generic Transcription Pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-5357801~Programmed Cell Death,R-HSA-5633008~TP53 Regulates Transcription of Cell Death Genes,R-HSA-6803204~TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-75108~Activation, myristolyation of BID and translocation to mitochondria,
BRK1	BRICK1 subunit of SCAR/WAVE actin nucleating complex(BRK1)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-194138~Signaling by VEGF,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-4420097~VEGFA-VEGFR2 Pathway,R-HSA-5663205~Infectious disease,R-HSA-5663213~RHO GTPases Activate WASPs and WAVEs,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013149~RAC1 GTPase cycle,R-HSA-9013404~RAC2 GTPase cycle,R-HSA-9013423~RAC3 GTPase cycle,R-HSA-9658195~Leishmania infection,R-HSA-9664407~Parasite infection,R-HSA-9664417~Leishmania phagocytosis,R-HSA-9664422~FCGR3A-mediated phagocytosis,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9824443~Parasitic Infection Pathways,
BRMS1	BRMS1 transcriptional repressor and anoikis regulator(BRMS1)	Homo sapiens	R-HSA-1643685~Disease,R-HSA-3214815~HDACs deacetylate histones,R-HSA-3247509~Chromatin modifying enzymes,R-HSA-4839726~Chromatin organization,R-HSA-5663205~Infectious disease,R-HSA-9679191~Potential therapeutics for SARS,R-HSA-9679506~SARS-CoV Infections,R-HSA-9824446~Viral Infection Pathways,
BANP	BTG3 associated nuclear protein(BANP)	Homo sapiens	R-HSA-212436~Generic Transcription Pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-5633007~Regulation of TP53 Activity,R-HSA-6804759~Regulation of TP53 Activity through Association with Co-factors,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),
BUD31	BUD31 homolog(BUD31)	Homo sapiens	R-HSA-72163~mRNA Splicing - Major Pathway,R-HSA-72172~mRNA Splicing,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-8953854~Metabolism of RNA,
CCR7	C-C motif chemokine receptor 7(CCR7)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-372790~Signaling by GPCR,R-HSA-373076~Class A/1 (Rhodopsin-like receptors),R-HSA-375276~Peptide ligand-binding receptors,R-HSA-380108~Chemokine receptors bind chemokines,R-HSA-388396~GPCR downstream signalling,R-HSA-418594~G alpha (i) signalling events,R-HSA-500792~GPCR ligand binding,
CXCR4	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-1474165~Reproduction,R-HSA-162582~Signal Transduction,R-HSA-162587~HIV Life Cycle,R-HSA-162594~Early Phase of HIV Life Cycle,R-HSA-162906~HIV Infection,R-HSA-1643685~Disease,R-HSA-173107~Binding and entry of HIV virion,R-HSA-372790~Signaling by GPCR,R-HSA-373076~Class A/1 (Rhodopsin-like receptors),R-HSA-375276~Peptide ligand-binding receptors,R-HSA-376176~Signaling by ROBO receptors,R-HSA-380108~Chemokine receptors bind chemokines,R-HSA-388396~GPCR downstream signalling,R-HSA-418594~G alpha (i) signalling events,R-HSA-422475~Axon guidance,R-HSA-500792~GPCR ligand binding,R-HSA-5663205~Infectious disease,R-HSA-9675108~Nervous system development,R-HSA-9758941~Gastrulation,R-HSA-9823730~Formation of definitive endoderm,R-HSA-9824446~Viral Infection Pathways,R-HSA-9827857~Specification of primordial germ cells,
CXCR6	C-X-C motif chemokine receptor 6(CXCR6)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-372790~Signaling by GPCR,R-HSA-373076~Class A/1 (Rhodopsin-like receptors),R-HSA-375276~Peptide ligand-binding receptors,R-HSA-380108~Chemokine receptors bind chemokines,R-HSA-388396~GPCR downstream signalling,R-HSA-418594~G alpha (i) signalling events,R-HSA-500792~GPCR ligand binding,
CMC2	C-X9-C motif containing 2(CMC2)	Homo sapiens	R-HSA-1268020~Mitochondrial protein import,R-HSA-9609507~Protein localization,
CLEC2B	C-type lectin domain family 2 member B(CLEC2B)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,
CFLAR	CASP8 and FADD like apoptosis regulator(CFLAR)	Homo sapiens	R-HSA-109581~Apoptosis,R-HSA-140534~Caspase activation via Death Receptors in the presence of ligand,R-HSA-162582~Signal Transduction,R-HSA-3371378~Regulation by c-FLIP,R-HSA-5213460~RIPK1-mediated regulated necrosis,R-HSA-5218859~Regulated Necrosis,R-HSA-5218900~CASP8 activity is inhibited,R-HSA-5357769~Caspase activation via extrinsic apoptotic signalling pathway,R-HSA-5357801~Programmed Cell Death,R-HSA-5357905~Regulation of TNFR1 signaling,R-HSA-5675482~Regulation of necroptotic cell death,R-HSA-69416~Dimerization of procaspase-8,R-HSA-73887~Death Receptor Signaling,R-HSA-75158~TRAIL  signaling,R-HSA-75893~TNF signaling,
CNOT1	CCR4-NOT transcription complex subunit 1(CNOT1)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-212436~Generic Transcription Pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-429914~Deadenylation-dependent mRNA decay,R-HSA-429947~Deadenylation of mRNA,R-HSA-6791312~TP53 Regulates Transcription of Cell Cycle Genes,R-HSA-6804115~TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8953854~Metabolism of RNA,R-HSA-9816359~Maternal to zygotic transition (MZT),R-HSA-9820841~M-decay: degradation of maternal mRNAs by maternally stored factors,
CNOT6L	CCR4-NOT transcription complex subunit 6 like(CNOT6L)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-212436~Generic Transcription Pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-429914~Deadenylation-dependent mRNA decay,R-HSA-429947~Deadenylation of mRNA,R-HSA-6791312~TP53 Regulates Transcription of Cell Cycle Genes,R-HSA-6804115~TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8953854~Metabolism of RNA,R-HSA-9816359~Maternal to zygotic transition (MZT),R-HSA-9820841~M-decay: degradation of maternal mRNAs by maternally stored factors,
CNOT8	CCR4-NOT transcription complex subunit 8(CNOT8)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-212436~Generic Transcription Pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-429914~Deadenylation-dependent mRNA decay,R-HSA-429947~Deadenylation of mRNA,R-HSA-6791312~TP53 Regulates Transcription of Cell Cycle Genes,R-HSA-6804115~TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8953854~Metabolism of RNA,R-HSA-9816359~Maternal to zygotic transition (MZT),R-HSA-9820841~M-decay: degradation of maternal mRNAs by maternally stored factors,
CD2	CD2 molecule(CD2)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-202733~Cell surface interactions at the vascular wall,
CD247	CD247 molecule(CD247)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1643685~Disease,R-HSA-164944~Nef and signal transduction,R-HSA-164952~The role of Nef in HIV-1 replication and disease pathogenesis,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-202427~Phosphorylation of CD3 and TCR zeta chains,R-HSA-202430~Translocation of ZAP-70 to Immunological synapse,R-HSA-202433~Generation of second messenger molecules,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029481~FCGR activation,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-2029485~Role of phospholipids in phagocytosis,R-HSA-388841~Costimulation by the CD28 family,R-HSA-389948~PD-1 signaling,R-HSA-5663205~Infectious disease,R-HSA-9658195~Leishmania infection,R-HSA-9662851~Anti-inflammatory response favouring Leishmania parasite infection,R-HSA-9664323~FCGR3A-mediated IL10 synthesis,R-HSA-9664407~Parasite infection,R-HSA-9664417~Leishmania phagocytosis,R-HSA-9664422~FCGR3A-mediated phagocytosis,R-HSA-9664433~Leishmania parasite growth and survival,R-HSA-9824443~Parasitic Infection Pathways,R-HSA-9824446~Viral Infection Pathways,
CD27	CD27 molecule(CD27)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-168256~Immune System,R-HSA-5668541~TNFR2 non-canonical NF-kB pathway,R-HSA-5669034~TNFs bind their physiological receptors,
